"Collision,Comp,DCPD,AB,Make ,Model,Body Style,Model Year"
"48,9,107,98,ACURA,CSX 4DR,4D,2006"
"62,29,76,527,ACURA,CSX 4DR,4D,2007"
"65,19,140,591,ACURA,CSX 4DR,4D,2008"
"79,15,84,97,ACURA,CSX 4DR,4D,2009"
"71,16,88,253,ACURA,CSX 4DR,4D,2010"
"78,31,103,77,ACURA,CSX 4DR,4D,2011"
"43,20,76,152,ACURA,EL 4DR,4D,2005"
"113,56,141,350,ACURA,ILX 4DR,4D,2013"
"100,37,131,95,ACURA,ILX 4DR,4D,2014"
"149,59,191,264,ACURA,ILX 4DR,4D,2015"
"173,34,177,270,ACURA,ILX 4DR,4D,2016"
"177,46,178,153,ACURA,ILX 4DR,4D,2017"
"154,57,180,99,ACURA,ILX 4DR,4D,2018"
"140,75,196,71,ACURA,ILX 4DR,4D,2019"
"141,86,164,853,ACURA,ILX 4DR,4D,2020"
"39,29,53,136,ACURA,MDX 4DR 4WD,SUV,2005"
"40,19,64,233,ACURA,MDX 4DR 4WD,SUV,2006"
"55,34,64,124,ACURA,MDX 4DR 4WD,SUV,2007"
"78,40,75,257,ACURA,MDX 4DR 4WD,SUV,2008"
"62,30,82,101,ACURA,MDX 4DR 4WD,SUV,2009"
"79,71,62,91,ACURA,MDX 4DR 4WD,SUV,2010"
"80,24,80,74,ACURA,MDX 4DR 4WD,SUV,2011"
"66,37,95,192,ACURA,MDX 4DR 4WD,SUV,2012"
"87,63,74,116,ACURA,MDX 4DR 4WD,SUV,2013"
"105,83,118,191,ACURA,MDX 4DR 4WD,SUV,2014"
"107,62,113,71,ACURA,MDX 4DR 4WD,SUV,2015"
"107,97,108,157,ACURA,MDX 4DR 4WD,SUV,2016"
"101,93,139,157,ACURA,MDX 4DR 4WD,SUV,2017"
"124,83,110,83,ACURA,MDX 4DR 4WD,SUV,2018"
"130,158,142,71,ACURA,MDX 4DR 4WD,SUV,2019"
"115,158,131,95,ACURA,MDX 4DR 4WD,SUV,2020"
"119,116,224,168,ACURA,MDX 4DR 4WD,SUV,2022"
"123,98,177,303,ACURA,MDX 4DR 4WD,SUV,2023"
"53,21,76,128,ACURA,RDX 4DR AWD,SUV,2007"
"65,26,78,159,ACURA,RDX 4DR AWD,SUV,2008"
"51,30,72,79,ACURA,RDX 4DR AWD,SUV,2009"
"45,44,95,136,ACURA,RDX 4DR AWD,SUV,2010"
"66,29,76,79,ACURA,RDX 4DR AWD,SUV,2011"
"87,34,114,132,ACURA,RDX 4DR AWD,SUV,2012"
"70,38,130,140,ACURA,RDX 4DR AWD,SUV,2013"
"93,33,90,66,ACURA,RDX 4DR AWD,SUV,2014"
"89,42,84,50,ACURA,RDX 4DR AWD,SUV,2015"
"61,56,122,57,ACURA,RDX 4DR AWD,SUV,2016"
"82,49,107,64,ACURA,RDX 4DR AWD,SUV,2017"
"93,47,115,127,ACURA,RDX 4DR AWD,SUV,2018"
"91,343,116,101,ACURA,RDX 4DR AWD,SUV,2019"
"95,629,114,51,ACURA,RDX 4DR AWD,SUV,2020"
"91,713,143,108,ACURA,RDX 4DR AWD,SUV,2021"
"86,104,165,163,ACURA,RDX 4DR AWD,SUV,2022"
"126,121,181,100,ACURA,RDX 4DR AWD,SUV,2023"
"     .,28,89,151,ACURA,RSX 2DR,2D,2005"
"     .,43,73,682,ACURA,RSX 2DR,2D,2006"
"50,18,83,174,ACURA,TL 4DR,4D,2005"
"72,31,119,128,ACURA,TL 4DR,4D,2006"
"72,35,99,125,ACURA,TL 4DR,4D,2007"
"71,43,101,187,ACURA,TL 4DR,4D,2008"
"104,33,117,330,ACURA,TL 4DR,4D,2009"
"117,46,110,73,ACURA,TL 4DR,4D,2010"
"97,43,103,331,ACURA,TL 4DR,4D,2012"
"130,48,95,207,ACURA,TL 4DR,4D,2013"
"75,47,117,101,ACURA,TL 4DR AWD,4D,2009"
"121,39,122,83,ACURA,TL 4DR AWD,4D,2010"
"73,44,99,148,ACURA,TL 4DR AWD,4D,2012"
"95,71,110,78,ACURA,TL 4DR AWD,4D,2013"
"100,73,125,92,ACURA,TL 4DR AWD,4D,2014"
"76,56,96,121,ACURA,TL TYPE S 4DR,4D,2007"
"91,76,116,107,ACURA,TL TYPE S 4DR,4D,2008"
"124,59,157,402,ACURA,TLX 4DR,4D,2015"
"158,101,186,161,ACURA,TLX 4DR,4D,2016"
"207,132,156,183,ACURA,TLX 4DR,4D,2017"
"232,152,245,80,ACURA,TLX 4DR,4D,2018"
"144,140,188,34,ACURA,TLX 4DR,4D,2019"
"225,219,274,407,ACURA,TLX 4DR,4D,2020"
"166,69,153,53,ACURA,TLX 4DR AWD,4D,2015"
"152,96,152,170,ACURA,TLX 4DR AWD,4D,2016"
"155,98,138,59,ACURA,TLX 4DR AWD,4D,2017"
"165,176,157,69,ACURA,TLX 4DR AWD,4D,2018"
"201,149,199,191,ACURA,TLX 4DR AWD,4D,2019"
"139,213,218,162,ACURA,TLX 4DR AWD,4D,2020"
"178,390,240,94,ACURA,TLX 4DR AWD,4D,2021"
"37,16,86,104,ACURA,TSX 4DR,4D,2005"
"64,21,78,134,ACURA,TSX 4DR,4D,2006"
"77,24,134,192,ACURA,TSX 4DR,4D,2007"
"74,58,97,338,ACURA,TSX 4DR,4D,2008"
"62,25,119,289,ACURA,TSX 4DR,4D,2009"
"83,31,81,302,ACURA,TSX 4DR,4D,2010"
"85,42,90,229,ACURA,TSX 4DR,4D,2011"
"90,33,100,189,ACURA,TSX 4DR,4D,2012"
"95,47,118,91,ACURA,TSX 4DR,4D,2013"
"     .,89,     .,59,ACURA,ZDX 4DR AWD,SUV,2010"
"253,163,     .,161,ALFA ROMEO,GIULIA 4DR AWD,4D,2017"
"158,116,229,78,ALFA ROMEO,STELVIO 4DR AWD,SUV,2018"
"157,143,126,668,AUDI,A3 4DR,4D,2015"
"162,46,196,71,AUDI,A3 4DR,4D,2016"
"144,81,156,44,AUDI,A3 QUATTRO 4DR,4D,2015"
"158,77,185,134,AUDI,A3 QUATTRO 4DR,4D,2016"
"214,89,245,216,AUDI,A3 QUATTRO 4DR,4D,2017"
"276,68,193,48,AUDI,A3 QUATTRO 4DR,4D,2018"
"199,129,252,77,AUDI,A3 QUATTRO 4DR,4D,2019"
"     .,     .,     .,433,AUDI,A3 QUATTRO WAGON,WGN,2009"
"     .,39,     .,15,AUDI,A3 QUATTRO WAGON,WGN,2012"
"     .,19,49,31,AUDI,A3 WAGON,WGN,2006"
"     .,     .,84,263,AUDI,A3 WAGON,WGN,2007"
"     .,37,100,88,AUDI,A3 WAGON,WGN,2008"
"123,42,106,87,AUDI,A3 WAGON,WGN,2012"
"179,154,     .,25,AUDI,A4 2.0T QUATTRO WAGON,WGN,2017"
"185,192,302,5,AUDI,A4 2.0T QUATTRO WAGON,WGN,2018"
"     .,30,57,117,AUDI,A4 QUATTRO 4DR,4D,2005"
"35,43,65,97,AUDI,A4 QUATTRO 4DR,4D,2006"
"67,53,77,51,AUDI,A4 QUATTRO 4DR,4D,2007"
"59,46,86,122,AUDI,A4 QUATTRO 4DR,4D,2008"
"104,58,103,109,AUDI,A4 QUATTRO 4DR,4D,2009"
"102,65,133,111,AUDI,A4 QUATTRO 4DR,4D,2010"
"124,68,128,678,AUDI,A4 QUATTRO 4DR,4D,2011"
"98,57,144,495,AUDI,A4 QUATTRO 4DR,4D,2012"
"138,91,132,76,AUDI,A4 QUATTRO 4DR,4D,2013"
"161,64,186,125,AUDI,A4 QUATTRO 4DR,4D,2014"
"213,101,171,76,AUDI,A4 QUATTRO 4DR,4D,2015"
"198,69,184,99,AUDI,A4 QUATTRO 4DR,4D,2016"
"228,106,242,150,AUDI,A4 QUATTRO 4DR,4D,2017"
"273,101,266,141,AUDI,A4 QUATTRO 4DR,4D,2018"
"283,135,261,77,AUDI,A4 QUATTRO 4DR,4D,2019"
"184,91,273,151,AUDI,A4 QUATTRO 4DR,4D,2020"
"135,104,146,145,AUDI,A5 QUATTRO 2DR,2D,2010"
"169,84,130,77,AUDI,A5 QUATTRO 2DR,2D,2011"
"134,100,189,100,AUDI,A5 QUATTRO 2DR,2D,2012"
"146,76,182,16,AUDI,A5 QUATTRO 2DR,2D,2013"
"170,109,179,151,AUDI,A5 QUATTRO 2DR,2D,2014"
"284,96,214,95,AUDI,A5 QUATTRO 2DR,2D,2015"
"279,183,233,155,AUDI,A5 QUATTRO 2DR,2D,2016"
"277,150,186,27,AUDI,A5 QUATTRO 2DR,2D,2018"
"232,96,213,131,AUDI,A5 QUATTRO 4DR SPORTBACK,4D,2018"
"243,77,306,130,AUDI,A5 QUATTRO 4DR SPORTBACK,4D,2019"
"313,148,556,122,AUDI,A5 QUATTRO 4DR SPORTBACK,4D,2020"
"     .,     .,     .,125,AUDI,A6 QUATTRO 4DR,4D,2007"
"     .,84,103,126,AUDI,A6 QUATTRO 4DR,4D,2008"
"     .,     .,     .,477,AUDI,A6 QUATTRO 4DR,4D,2010"
"173,97,165,133,AUDI,A6 QUATTRO 4DR,4D,2012"
"201,115,165,217,AUDI,A6 QUATTRO 4DR,4D,2013"
"207,113,169,68,AUDI,A6 QUATTRO 4DR,4D,2014"
"203,173,236,91,AUDI,A6 QUATTRO 4DR,4D,2016"
"214,123,334,67,AUDI,A6 QUATTRO 4DR,4D,2017"
"210,157,254,47,AUDI,A6 QUATTRO 4DR,4D,2019"
"169,114,171,105,AUDI,A7 QUATTRO 5DR,4D,2012"
"269,174,     .,93,AUDI,A7 QUATTRO 5DR,4D,2014"
"340,249,255,161,AUDI,A7 QUATTRO 5DR,4D,2016"
"322,299,272,464,AUDI,A7 QUATTRO 5DR,4D,2019"
"132,49,124,122,AUDI,Q3 4DR AWD,SUV,2015"
"203,50,120,105,AUDI,Q3 4DR AWD,SUV,2016"
"124,110,123,62,AUDI,Q3 4DR AWD,SUV,2017"
"154,30,154,69,AUDI,Q3 4DR AWD,SUV,2018"
"173,47,98,30,AUDI,Q3 4DR AWD,SUV,2019"
"160,51,153,115,AUDI,Q3 4DR AWD,SUV,2020"
"125,98,157,51,AUDI,Q3 4DR AWD,SUV,2021"
"107,80,189,82,AUDI,Q3 4DR AWD,SUV,2022"
"161,69,150,100,AUDI,Q3 4DR AWD,SUV,2023"
"     .,     .,     .,59,AUDI,Q5 4DR AWD,SUV,2009"
"77,69,139,496,AUDI,Q5 4DR AWD,SUV,2010"
"72,68,114,117,AUDI,Q5 4DR AWD,SUV,2011"
"109,64,124,71,AUDI,Q5 4DR AWD,SUV,2012"
"115,33,135,73,AUDI,Q5 4DR AWD,SUV,2013"
"112,64,118,80,AUDI,Q5/SQ5 4DR AWD,SUV,2014"
"151,53,152,74,AUDI,Q5/SQ5 4DR AWD,SUV,2015"
"129,65,174,78,AUDI,Q5/SQ5 4DR AWD,SUV,2016"
"125,67,138,131,AUDI,Q5/SQ5 4DR AWD,SUV,2017"
"153,88,203,83,AUDI,Q5/SQ5 4DR AWD,SUV,2018"
"211,78,171,53,AUDI,Q5/SQ5 4DR AWD,SUV,2019"
"154,84,233,122,AUDI,Q5/SQ5 4DR AWD,SUV,2020"
"180,70,182,66,AUDI,Q5/SQ5 4DR AWD,SUV,2021"
"155,81,192,66,AUDI,Q5/SQ5 4DR AWD,SUV,2022"
"205,62,150,110,AUDI,Q5/SQ5 4DR AWD,SUV,2023"
"127,154,111,125,AUDI,Q7 4DR AWD,SUV,2007"
"160,104,128,106,AUDI,Q7 4DR AWD,SUV,2008"
"109,120,208,221,AUDI,Q7 4DR AWD,SUV,2009"
"151,111,149,135,AUDI,Q7 4DR AWD,SUV,2010"
"184,147,138,181,AUDI,Q7 4DR AWD,SUV,2011"
"152,110,134,77,AUDI,Q7 4DR AWD,SUV,2012"
"129,147,157,113,AUDI,Q7 4DR AWD,SUV,2013"
"197,187,170,110,AUDI,Q7 4DR AWD,SUV,2014"
"183,119,214,145,AUDI,Q7 4DR AWD,SUV,2015"
"189,132,192,68,AUDI,Q7 4DR AWD,SUV,2017"
"201,138,197,324,AUDI,Q7 4DR AWD,SUV,2018"
"165,232,191,91,AUDI,Q7 4DR AWD,SUV,2019"
"204,151,214,68,AUDI,Q7/SQ7 4DR AWD,SUV,2020"
"243,163,258,116,AUDI,Q7/SQ7 4DR AWD,SUV,2021"
"179,198,249,27,AUDI,Q7/SQ7 4DR AWD,SUV,2022"
"252,133,228,110,AUDI,Q8 4DR AWD,SUV,2019"
"270,291,423,123,AUDI,Q8/SQ8/RS Q8 4DR AWD,SUV,2021"
"     .,98,     .,72,AUDI,S3 QUATTRO 4DR,4D,2015"
"202,135,     .,11,AUDI,S3 QUATTRO 4DR,4D,2016"
"220,145,215,35,AUDI,S3/RS3 QUATTRO 4DR,4D,2018"
"253,160,     .,59,AUDI,S3/RS3 QUATTRO 4DR,4D,2019"
"106,148,140,44,AUDI,S4 QUATTRO 4DR,4D,2010"
"128,97,179,49,AUDI,S4 QUATTRO 4DR,4D,2011"
"155,136,182,49,AUDI,S4 QUATTRO 4DR,4D,2012"
"148,114,288,77,AUDI,S4 QUATTRO 4DR,4D,2013"
"166,136,166,72,AUDI,S4 QUATTRO 4DR,4D,2014"
"225,153,225,37,AUDI,S4 QUATTRO 4DR,4D,2015"
"261,119,182,108,AUDI,S4 QUATTRO 4DR,4D,2018"
"274,156,     .,135,AUDI,S5 QUATTRO 2DR,2D,2016"
"343,195,330,102,AUDI,S5 QUATTRO 4DR SPORTBACK,4D,2018"
"263,209,291,54,AUDI,S5/RS5 QUATTRO 2DR,2D,2013"
"328,173,340,27,AUDI,S5/RS5 QUATTRO 2DR,2D,2014"
"308,177,287,117,AUDI,S5/RS5 QUATTRO 2DR,2D,2015"
"402,142,347,91,AUDI,S5/RS5 QUATTRO 2DR,2D,2018"
"326,165,416,45,AUDI,S5/RS5 QUATTRO 4DR SPORTBACK,4D,2019"
"     .,101,     .,     .,AUDI,TT/TTS/TT RS QUATTRO 2DR COUPE,2D,2018"
"103,42,86,139,BMW,128/135 2DR,2D,2008"
"87,39,80,123,BMW,128/135 2DR,2D,2009"
"105,61,90,53,BMW,128/135 2DR,2D,2011"
"105,82,117,49,BMW,128/135 2DR,2D,2012"
"31,56,45,130,BMW,128/135 CABRIOLET,2D,2008"
"     .,31,     .,     .,BMW,128/135 CABRIOLET,2D,2009"
"49,40,57,61,BMW,128/135 CABRIOLET,2D,2012"
"180,95,     .,87,BMW,228i 2DR AWD,2D,2016"
"45,23,62,141,BMW,320/325/330 4DR,4D,2005"
"189,92,173,225,BMW,320/328/328d/335 4DR AWD,4D,2015"
"229,114,240,199,BMW,320/328/328d/340 4DR AWD,4D,2016"
"169,81,143,223,BMW,320/328/335 4DR,4D,2012"
"164,87,177,170,BMW,320/328/335 4DR AWD,4D,2013"
"149,93,151,137,BMW,320/328/335 4DR AWD,4D,2014"
"335,121,202,302,BMW,320/328d/340 4DR AWD,4D,2017"
"207,127,272,85,BMW,320/330 4DR AWD,4D,2019"
"61,52,71,168,BMW,323/325/330 4DR,4D,2006"
"68,37,90,686,BMW,323/328/335 4DR,4D,2007"
"69,54,106,519,BMW,323/328/335 4DR,4D,2008"
"102,41,71,107,BMW,323/328/335 4DR,4D,2009"
"107,47,90,101,BMW,323/328/335 4DR,4D,2010"
"106,30,101,186,BMW,323/328/335 4DR,4D,2011"
"     .,     .,     .,73,BMW,325/330 2DR,2D,2005"
"     .,     .,     .,253,BMW,325/330 4DR AWD,4D,2005"
"82,41,76,66,BMW,325/330 4DR AWD,4D,2006"
"     .,24,     .,     .,BMW,325/330 CABRIOLET,2D,2005"
"     .,     .,     .,236,BMW,328 2DR AWD,2D,2007"
"76,92,96,35,BMW,328/335 2DR,2D,2007"
"112,90,123,50,BMW,328/335 2DR,2D,2008"
"111,109,139,183,BMW,328/335 2DR AWD,2D,2008"
"125,105,146,105,BMW,328/335 2DR AWD,2D,2009"
"154,71,127,87,BMW,328/335 2DR AWD,2D,2011"
"72,64,104,85,BMW,328/335 4DR AWD,4D,2007"
"67,64,107,102,BMW,328/335 4DR AWD,4D,2008"
"77,44,116,166,BMW,328/335 4DR AWD,4D,2009"
"98,52,108,222,BMW,328/335 4DR AWD,4D,2010"
"101,51,114,107,BMW,328/335 4DR AWD,4D,2011"
"58,58,105,54,BMW,328/335 CABRIOLET,2D,2007"
"44,43,129,81,BMW,328/335 CABRIOLET,2D,2008"
"76,84,69,33,BMW,328/335 CABRIOLET,2D,2009"
"56,80,94,106,BMW,328/335 CABRIOLET,2D,2011"
"252,112,278,370,BMW,328d/330/340 4DR AWD,4D,2018"
"292,147,270,153,BMW,330i 4DR AWD,4D,2017"
"252,158,274,235,BMW,330i 4DR AWD,4D,2020"
"225,78,247,134,BMW,330i 4DR AWD,4D,2021"
"226,137,192,169,BMW,428/435 2DR AWD,2D,2014"
"260,195,191,127,BMW,428/435 2DR AWD,2D,2015"
"286,105,226,151,BMW,428/435 2DR AWD,2D,2016"
"124,197,180,43,BMW,428/435 CABRIOLET AWD,2D,2015"
"     .,167,     .,     .,BMW,428/435 CABRIOLET AWD,2D,2016"
"223,115,212,248,BMW,428/435 GRAN COUPE 4DR AWD,4D,2015"
"225,123,250,156,BMW,428/435 GRAN COUPE 4DR AWD,4D,2016"
"267,225,284,236,BMW,430/440 2DR AWD,2D,2018"
"414,138,385,97,BMW,430/440 2DR AWD,2D,2019"
"353,165,324,98,BMW,430/440 4DR AWD,4D,2017"
"348,192,223,286,BMW,430/440 4DR AWD,4D,2018"
"242,124,264,149,BMW,430/440 4DR AWD,4D,2019"
"147,102,143,54,BMW,430/440 CABRIOLET AWD,2D,2018"
"     .,     .,90,233,BMW,525/530 4DR AWD,4D,2006"
"95,94,112,25,BMW,525/530 4DR AWD,4D,2007"
"64,90,112,164,BMW,525/530/550 4DR,4D,2006"
"76,88,105,148,BMW,525/530/550 4DR,4D,2007"
"108,80,99,77,BMW,528/535 4DR AWD,4D,2008"
"     .,97,     .,100,BMW,528/535 4DR AWD,4D,2009"
"123,85,167,129,BMW,528/535 4DR AWD,4D,2010"
"85,89,112,133,BMW,528/535/550 4DR,4D,2008"
"133,139,104,155,BMW,528/535/550 4DR,4D,2011"
"174,156,186,98,BMW,528/535/550 4DR AWD,4D,2012"
"186,141,154,234,BMW,528/535/550 4DR AWD,4D,2013"
"212,142,195,139,BMW,528/535/550 4DR AWD,4D,2014"
"187,177,178,109,BMW,528/535/550 4DR AWD,4D,2015"
"212,140,160,240,BMW,528/535/550 4DR AWD,4D,2016"
"314,114,288,128,BMW,530/540 4DR AWD,4D,2017"
"215,187,245,65,BMW,530/540 4DR AWD,4D,2019"
"270,148,289,109,BMW,530/540/540d 4DR AWD,4D,2018"
"161,124,141,182,BMW,535/550 4DR AWD,4D,2011"
"211,324,272,193,BMW,750 4DR AWD,4D,2012"
"391,535,     .,61,BMW,750/750L 4DR AWD,4D,2016"
"277,144,137,136,BMW,M240/M2 2DR,2D,2018"
"191,237,288,140,BMW,M340i 4DR AWD,4D,2020"
"291,317,     .,34,BMW,M550i 4DR AWD,4D,2018"
"111,61,94,83,BMW,X1 4DR AWD,SUV,2012"
"81,47,108,73,BMW,X1 4DR AWD,SUV,2013"
"95,56,107,23,BMW,X1 4DR AWD,SUV,2014"
"138,43,111,221,BMW,X1 4DR AWD,SUV,2015"
"144,52,85,42,BMW,X1 4DR AWD,SUV,2016"
"118,64,118,154,BMW,X1 4DR AWD,SUV,2017"
"139,76,136,56,BMW,X1 4DR AWD,SUV,2018"
"111,90,158,87,BMW,X1 4DR AWD,SUV,2019"
"123,86,175,32,BMW,X1 4DR AWD,SUV,2020"
"135,72,195,103,BMW,X1 4DR AWD,SUV,2021"
"204,75,210,76,BMW,X2 4DR AWD,SUV,2018"
"55,35,79,230,BMW,X3 4DR AWD,SUV,2005"
"56,43,63,107,BMW,X3 4DR AWD,SUV,2006"
"48,48,68,101,BMW,X3 4DR AWD,SUV,2007"
"40,33,52,83,BMW,X3 4DR AWD,SUV,2008"
"70,58,77,51,BMW,X3 4DR AWD,SUV,2009"
"74,39,76,99,BMW,X3 4DR AWD,SUV,2010"
"92,56,97,109,BMW,X3 4DR AWD,SUV,2011"
"91,62,90,63,BMW,X3 4DR AWD,SUV,2012"
"94,76,84,110,BMW,X3 4DR AWD,SUV,2013"
"115,76,131,44,BMW,X3 4DR AWD,SUV,2014"
"135,75,116,66,BMW,X3 4DR AWD,SUV,2015"
"104,53,120,64,BMW,X3 4DR AWD,SUV,2016"
"143,82,155,75,BMW,X3 4DR AWD,SUV,2017"
"125,109,164,122,BMW,X3 4DR AWD,SUV,2018"
"142,118,176,102,BMW,X3 4DR AWD,SUV,2019"
"191,110,141,104,BMW,X3 4DR AWD,SUV,2020"
"145,99,176,47,BMW,X3 4DR AWD,SUV,2021"
"175,111,201,104,BMW,X3 4DR AWD,SUV,2022"
"171,113,190,58,BMW,X3 4DR AWD,SUV,2023"
"137,66,186,63,BMW,X4 4DR AWD,SUV,2015"
"210,84,211,128,BMW,X4 4DR AWD,SUV,2016"
"202,123,165,84,BMW,X4 4DR AWD,SUV,2017"
"219,85,223,79,BMW,X4 4DR AWD,SUV,2018"
"200,106,166,161,BMW,X4 4DR AWD,SUV,2019"
"195,146,236,132,BMW,X4 4DR AWD,SUV,2020"
"203,201,243,93,BMW,X4 4DR AWD,SUV,2021"
"34,88,43,131,BMW,X5 4DR AWD,SUV,2005"
"37,66,73,58,BMW,X5 4DR AWD,SUV,2006"
"79,88,91,174,BMW,X5 4DR AWD,SUV,2007"
"81,98,101,156,BMW,X5 4DR AWD,SUV,2008"
"73,102,113,83,BMW,X5 4DR AWD,SUV,2009"
"93,116,86,145,BMW,X5 4DR AWD,SUV,2010"
"112,108,134,157,BMW,X5 4DR AWD,SUV,2011"
"84,107,133,98,BMW,X5 4DR AWD,SUV,2012"
"132,129,132,107,BMW,X5 4DR AWD,SUV,2013"
"119,110,199,88,BMW,X5 4DR AWD,SUV,2014"
"173,150,155,72,BMW,X5 4DR AWD,SUV,2015"
"168,121,185,71,BMW,X5 4DR AWD,SUV,2016"
"144,158,172,550,BMW,X5 4DR AWD,SUV,2017"
"177,122,235,409,BMW,X5 4DR AWD,SUV,2018"
"224,203,252,71,BMW,X5 4DR AWD,SUV,2019"
"201,215,301,109,BMW,X5 4DR AWD,SUV,2020"
"236,281,145,36,BMW,X5 4DR AWD,SUV,2021"
"222,508,197,72,BMW,X5 4DR AWD,SUV,2022"
"216,231,182,113,BMW,X6 4DR AWD,SUV,2011"
"226,310,263,432,BMW,X6 4DR AWD,SUV,2012"
"265,185,112,710,BMW,X6 4DR AWD,SUV,2013"
"177,198,222,408,BMW,X6 4DR AWD,SUV,2014"
"271,335,337,898,BMW,X6 4DR AWD,SUV,2015"
"213,253,287,125,BMW,X6 4DR AWD,SUV,2016"
"185,306,293,86,BMW,X6 4DR AWD,SUV,2017"
"340,120,234,82,BMW,X6 4DR AWD,SUV,2018"
"332,384,222,32,BMW,X7 4DR AWD,SUV,2019"
"     .,16,     .,3,BMW,Z4 ROADSTER,2D,2005"
"     .,16,     .,     .,BMW,Z4 ROADSTER,2D,2006"
"     .,17,     .,     .,BMW,Z4 ROADSTER,2D,2007"
"     .,42,     .,2,BMW,Z4 ROADSTER,2D,2011"
"26,17,34,75,BUICK,ALLURE 4DR,4D,2005"
"33,10,37,80,BUICK,ALLURE 4DR,4D,2006"
"33,12,35,34,BUICK,ALLURE 4DR,4D,2007"
"35,15,32,176,BUICK,ALLURE 4DR,4D,2008"
"28,14,43,426,BUICK,ALLURE 4DR,4D,2009"
"14,11,23,111,BUICK,CENTURY 4DR,4D,2005"
"94,53,131,25,BUICK,ENCORE GX 4DR AWD,SUV,2023"
"97,66,41,4,BUICK,ENVISION 4DR AWD,SUV,2016"
"105,82,72,28,BUICK,ENVISION 4DR AWD,SUV,2017"
"87,56,56,75,BUICK,ENVISION 4DR AWD,SUV,2018"
"116,55,78,49,BUICK,ENVISION 4DR AWD,SUV,2019"
"130,48,100,96,BUICK,ENVISION 4DR AWD,SUV,2020"
"88,73,75,25,BUICK,ENVISION 4DR AWD,SUV,2021"
"107,56,65,58,BUICK,ENVISION 4DR AWD,SUV,2022"
"61,27,61,115,BUICK,LACROSSE 4DR,4D,2010"
"48,24,49,48,BUICK,LACROSSE 4DR,4D,2011"
"50,25,69,11,BUICK,LACROSSE 4DR,4D,2012"
"45,45,65,29,BUICK,LACROSSE 4DR,4D,2013"
"108,60,90,36,BUICK,LACROSSE 4DR,4D,2014"
"82,39,66,118,BUICK,LACROSSE 4DR,4D,2015"
"79,51,102,49,BUICK,LACROSSE 4DR,4D,2017"
"28,24,26,26,BUICK,LE SABRE 4DR,4D,2005"
"33,20,36,54,BUICK,LUCERNE 4DR,4D,2006"
"45,16,41,35,BUICK,LUCERNE 4DR,4D,2007"
"40,26,42,70,BUICK,LUCERNE 4DR,4D,2008"
"43,26,48,112,BUICK,LUCERNE 4DR,4D,2009"
"42,14,48,31,BUICK,LUCERNE 4DR,4D,2010"
"48,15,46,56,BUICK,LUCERNE 4DR,4D,2011"
"50,26,35,253,BUICK,REGAL 4DR,4D,2011"
"73,46,67,94,BUICK,REGAL 4DR,4D,2012"
"93,63,98,257,BUICK,REGAL 4DR,4D,2013"
"100,59,76,21,BUICK,REGAL 4DR,4D,2015"
"154,74,173,15,BUICK,REGAL 4DR,4D,2017"
"228,115,246,164,BUICK,REGAL 4DR SPORTBACK,4D,2019"
"35,12,24,18,BUICK,RENDEZVOUS 4DR 2WD,SUV,2005"
"25,17,10,273,BUICK,RENDEZVOUS 4DR 2WD,SUV,2006"
"17,10,29,40,BUICK,RENDEZVOUS 4DR 2WD,SUV,2007"
"55,18,59,51,BUICK,VERANO 4DR,4D,2012"
"64,31,81,80,BUICK,VERANO 4DR,4D,2013"
"79,60,69,34,BUICK,VERANO 4DR,4D,2014"
"85,38,70,46,BUICK,VERANO 4DR,4D,2015"
"103,42,65,79,BUICK,VERANO 4DR,4D,2016"
"117,40,106,73,BUICK,VERANO 4DR,4D,2017"
"47,33,58,53,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR 2WD,SUV,2011"
"42,40,57,137,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR 2WD,SUV,2012"
"54,46,90,36,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR 2WD,SUV,2013"
"77,53,83,53,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR 2WD,SUV,2014"
"107,29,44,68,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR 2WD,SUV,2015"
"91,68,81,37,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR 2WD,SUV,2016"
"43,63,42,44,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR AWD,SUV,2011"
"54,60,66,39,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR AWD,SUV,2012"
"78,88,53,45,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR AWD,SUV,2013"
"65,103,58,68,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR AWD,SUV,2014"
"93,88,65,37,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR AWD,SUV,2015"
"100,58,100,65,BUICK/CHEV/GMC,ENCLAVE/TRAVERSE/ACADIA 4DR AWD,SUV,2016"
"27,48,35,153,BUICK/CHEV/GMC,RAINIER/TRAILBLAZER/ENVOY 4DR 4WD,SUV,2005"
"37,36,30,38,BUICK/CHEV/GMC,RAINIER/TRAILBLAZER/ENVOY 4DR 4WD,SUV,2006"
